"date","postcount","usercount"
"2016-03-30",34,31
"2016-04-12",224,147
"2016-04-13",366,202
"2016-04-14",276,213
"2016-04-15",280,199
"2016-04-16",546,291
"2016-04-17",226,157
"2016-04-18",400,256
"2016-04-19",348,230
"2016-04-20",271,204
"2016-04-21",309,220
"2016-04-22",218,158
"2016-04-23",199,157
"2016-04-24",207,153
"2016-04-25",756,239
"2016-04-26",312,224
"2016-04-27",309,219
"2016-04-28",324,195
"2016-04-29",237,143
"2016-04-30",125,105
"2016-05-01",117,92
"2016-05-02",138,114
"2016-05-03",229,170
"2016-05-04",256,193
"2016-05-05",212,156
"2016-05-06",227,164
"2016-05-07",122,88
"2016-05-08",143,111
"2016-05-09",192,163
"2016-05-10",258,202
"2016-05-11",262,163
"2016-05-12",215,176
"2016-05-17",171,135
"2016-05-18",215,176
"2016-05-19",261,204
"2016-05-20",185,144
"2016-05-21",196,137
"2016-05-22",164,130
"2016-05-23",292,185
"2016-05-24",307,225
"2016-05-25",263,203
"2016-05-26",292,218
"2016-05-27",234,160
"2016-05-28",154,123
"2016-05-29",278,154
"2016-05-30",262,187
"2016-05-31",270,199
"2016-06-01",279,220
"2016-06-02",219,174
"2016-06-03",300,218
"2016-06-04",196,155
"2016-06-05",180,128
"2016-06-06",203,156
"2016-06-07",323,224
"2016-06-08",260,205
"2016-06-09",278,210
"2016-06-10",207,150
"2016-06-11",120,92
"2016-06-12",161,122
"2016-06-13",203,160
"2016-06-14",316,202
"2016-06-15",239,187
"2016-06-16",281,213
"2016-06-17",258,196
"2016-06-18",230,156
"2016-06-19",259,199
"2016-06-20",2222,1353
"2016-06-21",508,340
"2016-06-22",359,242
"2016-06-23",261,191
"2016-06-24",343,288
"2016-06-25",195,154
"2016-06-26",176,130
"2016-06-27",255,133
"2016-06-28",194,168
"2016-06-29",205,156
"2016-06-30",216,164
"2016-07-01",171,124
"2016-07-02",125,104
"2016-07-03",118,85
"2016-07-04",222,140
"2016-07-05",193,148
"2016-07-06",171,135
"2016-07-07",210,153
"2016-07-08",269,143
"2016-07-09",136,96
"2016-07-10",109,85
"2016-07-11",180,129
"2016-07-12",241,136
"2016-07-13",201,151
"2016-07-14",153,122
"2016-07-15",188,144
"2016-07-16",107,83
"2016-07-17",91,61
"2016-07-18",162,137
"2016-07-19",228,159
"2016-07-20",154,125
"2016-07-21",167,114
"2016-07-22",235,159
"2016-07-23",121,103
"2016-07-24",184,143
"2016-07-25",234,188
"2016-07-26",250,145
"2016-07-27",219,135
"2016-07-28",254,163
"2016-07-29",146,118
"2016-07-30",122,92
"2016-07-31",119,96
"2016-08-01",157,116
"2016-08-02",193,146
"2016-08-03",150,116
"2016-08-04",182,146
"2016-08-05",239,204
"2016-08-06",372,290
"2016-08-07",137,106
"2016-08-08",158,133
"2016-08-09",192,148
"2016-08-10",199,138
"2016-08-11",150,112
"2016-08-15",115,82
"2016-08-16",148,108
"2016-08-17",162,123
"2016-08-18",194,146
"2016-08-19",191,152
"2016-08-20",87,74
"2016-08-21",122,93
"2016-08-22",147,106
"2016-08-23",146,97
"2016-08-24",117,91
"2016-08-25",138,105
"2016-08-26",153,117
"2016-08-27",106,85
"2016-08-28",99,77
"2016-08-29",122,109
"2016-08-30",188,148
"2016-08-31",167,124
"2016-09-01",193,150
"2016-09-02",205,153
"2016-09-03",128,96
"2016-09-04",123,109
"2016-09-05",243,173
"2016-09-06",184,147
"2016-09-07",255,176
"2016-09-08",171,140
"2016-09-09",166,114
"2016-09-10",186,140
"2016-09-11",164,122
"2016-09-12",206,151
"2016-09-13",346,242
"2016-09-14",292,191
"2016-09-15",255,170
"2016-09-16",239,176
"2016-09-17",445,298
"2016-09-18",183,126
"2016-09-19",611,340
"2016-09-20",392,263
"2016-09-21",244,171
"2016-09-22",263,182
"2016-09-23",181,146
"2016-09-24",1,1
"2016-09-26",168,139
"2016-09-27",181,117
"2016-09-28",184,143
"2016-09-29",179,137
"2016-09-30",63,56
"2016-10-01",137,90
"2016-10-02",224,133
"2016-10-03",291,205
"2016-10-04",237,169
"2016-10-05",251,177
"2016-10-06",224,172
"2016-10-07",131,121
"2016-10-08",216,135
"2016-10-09",137,102
"2016-10-10",253,147
"2016-10-11",238,151
"2016-10-12",220,164
"2016-10-13",197,164
"2016-10-14",152,124
"2016-10-15",115,103
"2016-10-16",220,122
"2016-10-17",143,122
"2016-10-18",224,177
"2016-10-19",316,256
"2016-10-20",216,188
"2016-10-21",251,194
"2016-10-22",232,171
"2016-10-23",478,281
