"latitude","longitude","latlng_geom","postcount","usercount"
"46.813","8.4445","0101000020E6100000DD24068195E32040F2D24D6210684740",425,1
"47.6965","14.7545","0101000020E6100000FCA9F1D24D822D40FED478E926D94740",287,1
"52.5161","13.377","0101000020E61000001B2FDD2406C12A4099BB96900F424A40",281,2
"50.501","4.4768","0101000020E610000063EE5A423EE81140E3A59BC420404940",258,1
"51.5063","-0.1271","0101000020E6100000302AA913D044C0BF7FFB3A70CEC04940",236,3
"62.1984","17.5514","0101000020E6100000B003E78C288D314061C3D32B65194F40",156,1
"48.8569","2.3412","0101000020E61000005F29CB10C7BA0240A1F831E6AE6D4840",156,2
"40.4203","-3.7058","0101000020E610000068226C787AA50DC02041F163CC354440",127,2
"41.9031","12.4958","0101000020E6100000AEB6627FD9FD28404182E2C798F34440",127,2
"51.50358903","-0.12639853","0101000020E610000094654EB8D32DC0BFB83CF79A75C04940",121,83
"40.4","-3.68333","0101000020E6100000650113B875770DC03333333333334440",111,83
"51.50711486","-0.12731805","0101000020E610000011627836F54BC0BF0082C523E9C04940",100,91
"52.3731","4.8932","0101000020E610000018265305A39213409D11A5BDC12F4A40",97,2
"52.50834","13.37702","0101000020E610000037E0F3C308C12A40D39FFD4811414A40",90,1
"39.0724","21.8456","0101000020E6100000637FD93D79D835407E1D386744894340",61,1
"56.49630699","-2.99756535","0101000020E61000007BFBCE8A03FB07C0C169C9FC863F4C40",54,1
"38.9901","-9.1413","0101000020E61000007FD93D79584822C082E2C798BB7E4340",46,1
"51.9189","19.1343","0101000020E610000051DA1B7C61223340AF25E4839EF54940",43,1
"40.4167","-3.70325","0101000020E6100000C74B378941A00DC0211FF46C56354440",42,2
"50.9434401","6.8778904","0101000020E6100000B2E375B3F5821B40139E2BA5C2784940",42,1
"53.55","10.0014","0101000020E6100000C66D3480B70024406666666666C64A40",41,23
"40.41917","-3.69306","0101000020E61000007A53910A638B0DC06FBBD05CA7354440",39,36
"41.9","12.5","0101000020E610000000000000000029403333333333F34440",39,34
"39.10633899","26.55855515","0101000020E61000002B436678FD8E3A407A2B1A849C8D4340",38,17
"50.9433028","6.8774455","0101000020E6100000E816BA1281821B40D41C6A25BE784940",37,1
"50.55038966","8.57193232","0101000020E6100000CFD92350D4242140D7E01A2B73464940",36,1
"48.8567","2.3508","0101000020E6100000917EFB3A70CE0240D93D7958A86D4840",36,28
"40.78483","-3.69489","0101000020E61000001E8A027D228F0DC0B875374F75644440",36,1
"55.86116083","-4.25017778","0101000020E6100000BE249D9A2E0011C01EB9A0843AEE4B40",35,6
"37.9667","23.7167","0101000020E61000000F0BB5A679B7374088855AD3BCFB4240",34,27
"38.7","26","0101000020E61000000000000000003A409A99999999594340",33,2
"52.518391","13.401251","0101000020E61000007FF964C570CD2A4037C5E3A25A424A40",32,17
"41.0186","28.9647","0101000020E610000082734694F6F63C4051DA1B7C61824440",31,10
"52.5006","13.3989","0101000020E6100000B1BFEC9E3CCC2A4055302AA913404A40",31,24
"50.9433714","6.8776679","0101000020E6100000F9FEBC5FBB821B40A97DDF64C0784940",29,1
"39.11","26.5547","0101000020E61000005917B7D1008E3A40AE47E17A148E4340",27,17
"41.3879","2.16992","0101000020E6100000957D5704FF5B0140280F0BB5A6B14440",26,1
"45.4637","9.18814","0101000020E61000008E23D6E253602240DE9387855ABB4640",26,2
"51.753241","-0.448632","0101000020E6100000C119FCFD62B6DCBFD0807A336AE04940",26,1
"50.9433834","6.8774653","0101000020E6100000D37F7B4386821B406E4B89C9C0784940",25,1
"45.4667","9.2","0101000020E6100000666666666666224088855AD3BCBB4640",24,10
"39.16666667","26.33333333","0101000020E61000004B04475555553A40DA7D5C5555954340",23,14
"39.13487719","25.93113734","0101000020E61000006A6247045FEE39406003E0A743914340",23,4
"41.3833","2.18333","0101000020E6100000650113B875770140454772F90FB14440",23,22
"55.95055556","-3.18555556","0101000020E6100000E653AE8D047C09C0909DF9CDABF94B40",23,2
"51.50055556","-0.12666667","0101000020E61000002D55920A9D36C0BFF703603412C04940",22,20
